,Minute,Team1:TopLane,Team1:Jungle,Team1:MidLane,Team1:AD Carry,Team1:Support,Team2:TopLane,Team2:Jungle,Team2:MidLane,Team2:AD Carry,Team2:Support,Team1:Gold,Team2:Gold,Team1:Kills,Team2:Kills,Team1:TurretsKills,Team2:TurretsKills,Team1:InhibitorsKills,Team2:InhibitorsKills,Team1:DragonKills,Team2:DragonKills,Team1:ElderDragonKills,Team2:ElderDragonKills,Team1:BaronKills,Team2:BaronKills,Team1:AverageLevel,Team2:AverageLevel,Winner,MatchID
17,17,6081,9259,6537,6980,4991,7538,6389,6526,7821,4201,33848,32475,20,14,3,1,0,0,1,1,0,0,0,0,10.6,10.4,Team1,EUW1_7231396449
18,18,6420,9586,6806,7200,5157,8114,6791,6649,8138,4353,35169,34045,20,14,3,1,0,0,1,1,0,0,0,0,10.6,10.4,Team1,EUW1_7231396449
19,19,6692,10337,7054,7859,5460,8620,6914,7029,8455,4511,37402,35529,22,15,3,1,0,0,1,1,0,0,0,0,11.2,11.0,Team1,EUW1_7231396449
20,20,7381,11113,7383,8710,5840,8855,7355,7215,9193,4773,40427,37391,25,16,4,1,0,0,1,1,0,0,0,0,12.0,11.4,Team1,EUW1_7231396449
21,21,8332,11380,7800,9765,6117,9261,7582,7637,9365,5064,43394,38909,27,16,5,1,0,0,1,1,0,0,0,0,12.2,11.8,Team1,EUW1_7231396449
22,22,8713,11851,8202,10480,6359,9632,7800,7983,9710,5258,45605,40383,28,16,5,1,0,0,1,1,0,0,0,0,12.6,12.0,Team1,EUW1_7231396449
23,23,9307,12680,9065,11232,7013,10084,8067,8281,10451,5660,49297,42543,30,17,6,2,0,0,1,1,0,0,1,0,13.4,12.4,Team1,EUW1_7231396449
24,24,9603,13046,9487,11650,7201,10447,8479,8884,10693,5818,50987,44321,30,17,6,2,0,0,2,1,0,0,1,0,13.6,12.8,Team1,EUW1_7231396449
25,25,10054,13353,9930,12016,7382,10919,8647,9174,10864,6035,52735,45639,30,17,6,2,0,0,2,1,0,0,1,0,14.4,12.8,Team1,EUW1_7231396449
26,26,10201,14140,10338,13021,7926,11447,9034,9380,11049,6222,55626,47132,33,18,7,2,1,0,2,1,0,0,1,0,14.4,13.0,Team1,EUW1_7231396449
27,27,10517,14722,11339,13742,8423,11571,9158,9749,11669,6426,58743,48573,35,18,8,2,1,0,2,1,0,0,1,0,15.0,13.4,Team1,EUW1_7231396449
28,28,11694,15391,11955,14744,8750,11714,9280,10171,12159,6606,62534,49930,36,18,10,2,2,0,2,1,0,0,1,0,15.4,13.4,Team1,EUW1_7231396449
29,28,12076,15989,12366,16022,9110,11793,9358,10298,12328,6704,65563,50481,40,18,12,2,3,0,2,1,0,0,1,0,15.8,13.4,Team1,EUW1_7231396449
